1836;Гранулярные вычисления;2013-05-08 09:12:22.327
1675;Графические программные среды;2012-12-06 14:42:46.793
1370;Двигатели внутреннего сгорания;2012-05-14 15:05:04.560
1726;Деловая этика;2013-01-15 10:35:29.920
1204;Деловой иностранный язык;2012-05-14 15:00:02.903
1711;Деловой иностранный язык (английский);2012-12-25 11:19:45.850
1713;Деловой иностранный язык (немецкий);2012-12-25 13:55:21.503
1255;Деловой русский язык;2012-05-14 15:05:00.077
1763;Деловые коммуникации;2013-02-05 11:41:18.887
1865;Деньги, кредит, банки;2013-12-17 10:31:38.450
1510;Детали машин;2012-05-14 15:05:16.123
1511;Детали машин и основы конструирования;2012-05-14 15:05:16.123
1550;Детали машин и ПТУ;2012-05-14 15:05:46.780
1591;Диагностика и надёжность автоматизированных систем;2012-05-14 15:06:49.827
1342;Диагностика и организация ремонта;2012-05-14 15:05:03.700
1341;Диагностика, ремонт и монтаж оборудования;2012-05-14 15:05:03.700
1866;Диверсификация компетенций в нестандартных ситуациях;2013-12-17 10:39:12.450
1867;Диверсификация социально-экономического развития;2013-12-17 10:39:50.200
1376;Дискретная математика;2012-05-14 15:05:04.983
1770;Дискретно-логические системы управления;2013-02-08 13:10:25.270
1248;Документирование управленческой деятельности;2012-05-14 15:04:59.733
1201;Дополнительные главы химии. Химия и технология полимерных покрытий;2012-05-14 15:00:02.857
1678;Естественно-научные основы современных технологий;2012-12-06 17:38:07.293
1791;Задачи математической физики;2013-04-06 12:51:19.910
1601;Защита интеллектуальной собственности;2012-05-14 15:06:51.123
1630;Защита интеллектуальной собственности и патентоведение;2012-05-14 15:10:37.857
1685;Защита информации;2012-12-13 12:52:14.200
1846;Защита окружающей среды в ЧС;2013-08-30 10:43:01.120
1534;Защита от коррозии;2012-05-14 15:05:23.217
1869;Инвестиции;2013-12-17 10:49:04.560
1253;Инвестиционный анализ;2012-05-14 15:04:59.843
1294;Инженерная графика;2012-05-14 15:05:01.373
1297;Инженерная графика в отрасли;2012-05-14 15:05:01.390
1284;Инженерная графика в отрасли (химия);2012-05-14 15:05:01.327
1285;Инженерная и компьютерная графика;2012-05-14 15:05:01.327
1323;Инженерная химия;2012-05-14 15:05:03.047
1606;Инновационная экономика;2012-05-14 15:06:51.717
1930;Инновационные технологии производства в нефтегазохимическом комплексе;2014-01-23 14:24:58.557
1462;Инновационный менеджмент;2012-05-14 15:05:10.797
1320;Иностранный язык;2012-05-14 15:05:02.700
1699;Иностранный язык (английский);2012-12-21 13:34:49.203
1589;Иностранный язык (второй);2012-05-14 15:06:49.687
